<<<ID=1782>>>	Скоро будет добавлено объяснение ...
<<<ID=1215>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-8 თავის (დამატებითი ინფორმაციის ნიშნები (დაფები)) 8.18 პუნქტის თანახმად, დაფა 8.18 „გარდა შეზღუდული შესაძლებლობის მქონე პირისა” - მიუთითებს, რომ ნიშნის მოქმედება არ ვრცელდება სატრანსპორტო საშუალებებზე, რომლებზედაც დადგმულია საცნობი ნიშანი „შეზღუდული შესაძლებლობის მქონე პირი”.
<<<ID=1001>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 49-ე მუხლის მე-9 პუნქტის თანახმად, დაბინდებიდან გათენებამდე, აგრეთვე ნებისმიერი სხვა არასაკმარისი ხილვადობის პირობებში, გზაზე გაჩერების ან დგომის დროს მექანიკური სატრანსპორტო საშუალება და მისი მისაბმელი აღნიშნული უნდა იყოს წინა და უკანა საგაბარიტო სინათლეებით. ამავე მუხლის მე-11 პუნქტის „ბ“ ქვეპუნქტის თანახმად, ამ მუხლის მე-9 და მე-10 პუნქტებით დადგენილ მოთხოვნათა მიუხედავად, მექანიკური სატრანსპორტო საშუალება შეიძლება გაჩერდეს ან იმყოფებოდეს სადგომზე ნებისმიერი გარე სანათი ხელსაწყოს ჩაურთველად: ბ) სავალი ნაწილის და მკვრივი საფარის მქონე გვერდულებს მიღმა.
<<<ID=754>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-3 თავის (ამკრძალავი ნიშნები) შენიშვნის „გ.ბ“ ქვეპუნქტის თანახმად ნიშნების მოქმედება არ ვრცელდება: გ.ბ) 3.2–3.8 ნიშნებისა – სატრანსპორტო საშუალებაზე, რომელიც ემსახუ¬რება აღნიშნულ ზონაში მდებარე საწარმოს, ანდა ემსახურება ან ეკუთვნის ამავე ზონაში მცხოვრებ ან მომუშავე პირს. ამ შემთხვევაში სატრანსპორტო საშუალება შედის აღნიშნულ ზონაში და გამოდის იქიდან დანიშნულების ადგილისაკენ უახლოეს გზაჯვარედინზე. სურათზე ნაჩვენები საგზაო ნიშნებია: 3.2 „მოძრაობა აკრძალულია”, 3.3 „მექანიკური სატრანსპორტო საშუალებით მოძრაობა აკრძალულია”, 3.5 „მოტოციკლით მოძრაობა აკრძალულია” და 3.8 „საჭაპანო მოძრაობა აკრძალულია”.
<<<ID=1287>>>	მექანიკური გადაცემათა კოლოფის მქონე სატრანსპორტო საშუალების ჩართული პირველი გადაცემით მოძრაობისას სიჩქარე დაბალია, ხოლო ძრავი მუშაობს მაღალი ბრუნთა რიცხვით და საჭიროებს მეტ საწვავს. მოძრაობის დაწყებისას, პირველი გადაცემით ჩართული სატრანსპორტო საშუალების ხანგრძლივი გაქნების დროს საწვავის ხარჯი იზრდება.
<<<ID=1265>>>	При повреждении кости руки ниже локтя у пострадавшего в результате ДТП, жгут для остановки артериального кровотечения следует наложить выше локтя, у плеча.
<<<ID=1000>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 49-ე მუხლის პირველი პუნქტის თანახმად, დღე-ღამის ბნელ დროს, აგრეთვე არასაკმარისი ხილვადობის პირობებში მოძრავ მექანიკურ სატრანსპორტო საშუალებაზე, აგრეთვე მოპედზე ჩართული უნდა იყოს ახლო ან შორი განათების ფარა/ფარები და უკანა საგაბარიტო სინათლეები. ამავე კანონის 21-ე მუხლის მე-13 პუნქტის თანახმად მძღოლს ეკრძალება მოძრაობა მუშა სამუხრუჭო სისტემის, საჭის მექანიზმის, სატრანსპორტო საშუალებათა შემადგენლობაში მისაბმელი მოწყობილობის გაუმართაობისას, აგრეთვე დღე-ღამის ბნელ დროს ერთდროულად მწყობრიდან გამოსული (ჩამქრალი) ახლო და შორი განათების ფარებით (ან მათი არარსებობისას) ან/და უკანა საგაბარიტო სინათლეებით იმ გზაზე, რომელზედაც არ არის ხელოვნური განათება ან არასაკმარისი ხილვადობაა.
<<<ID=352>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 37-ე მუხლის მე-6 პუნქტის „ბ.დ“ ქვეპუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალებების გაჩერება ნებისმიერ ადგილზე, სადაც მას შეუძლია შექმნას საფრთხე, მათ შორის, იმ ადგილას, სადაც მონიშვნის უწყვეტ ხაზსა (სავალი ნაწილის ნაპირის აღმნიშვნელი მონიშვნის გარდა) და გაჩერებულ სატრან-სპორტო საშუალებას შორის მანძილი 3 მეტრზე ნაკლებია.
<<<ID=973>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 49-ე მუხლის პირველი პუნქტის თანახმად, დღე-ღამის ბნელ დროს, აგრეთვე არასაკმარისი ხილვადობის პირობებში მოძრავ მექანიკურ სატრანსპორტო საშუალებაზე, აგრეთვე მოპედზე ჩართული უნდა იყოს ახლო ან შორი განათების ფარა/ფარები და უკანა საგაბარიტო სინათლეები, ხოლო მისაბმელზე – წინა საგაბარიტო სინათლეები (თუ მათ არსებობას ითვალისწინებს საქართველოს კანონმდებლობა) და არანაკლებ ორი უკანა საგაბარიტო სინათლე.
<<<ID=1067>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 21-ე მუხლის მე-12 პუნქტის თანახმად, მძღოლი ვალდებულია მგზავრობის დაწყებამდე შეამოწმოს და მგზავრობისას უზრუნველყოს სატრანსპორტო საშუალების ტექნიკური გამართულობა.
<<<ID=418>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მე-9 პუნქტის „ბ“ ქვეპუნქტის თანახმად, ამ მუხლის მე-3 პუნქტით დადგენილი მოთხოვნების გათვალისწინებით, გასწრება აკრძალულია რკინიგზის გადასასვლელზე და მის წინ 100 მეტრზე ახლოს, გარდა იმ შემთხვევებისა, როცა ამ ადგილებში მოძრაობა რეგულირდება ისეთი ტიპის შუქნიშნით რომელიც გზაჯვარედინებზე გამოიყენება. ამავე კანონის 39-ე მუხლის მე-2 პუნქტის „ა“ ქვეპუნქტის თანახმად, რკინიგზის გადასასვლელზე აკრძალულია საპირისპირო მოძრაობის ზოლზე გასვლით, გადასასვლელის წინ მდგომი სატრანსპორტო საშუალების შემოვლა.
<<<ID=894>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 5-ე მუხლის მე-20 პუნქტის თანახმად, დგომა - სატრანსპორტო საშუალების მოძრაობის გამიზნულად შეწყვეტა 5 წუთზე მეტი ხნით, თუ ეს აუცილებელი არ არის მგზავრთა ჩასხდომა-გადმოსხდომისათვის ან სატრანსპორტო საშუალების დატვირთვა-გადმოტვირთვისათვის.
<<<ID=574>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 46-ე მუხლის მე-10 პუნქტის „გ“ ქვეპუნქტის თანახმად, აკრძალულია მგზავრთა გადაყვანა თუ სატრანსპორტო საშუალების ფაქტობრივი მასა აღემატება მის ნებადართულ მაქსიმალურ მასას.
<<<ID=10>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის 4.3 პუნქტის თანახმად, საგზაო ნიშანი 4.3 „წრიული მოძრაობა” - რთავს ისრებით ნაჩვენები მიმართულებებით მოძრაობის ნებას გზაჯვარედინზე, რომელზედაც წრიული მოძრაობაა ორგანიზებული.
<<<ID=966>>>	При повреждении позвоночника у пострадавшего в результате ДТП, его следует уложить на спину, на ровную и твердую поверхность и подложить подушку под шею и в области поясницы.
<<<ID=1304>>>	ექსტრემალურ სიტუაციაში სატრანსპორტო საშუალების გაჩერებისას სამუხრუჭე მანძილის შემცირება მიიღწევა თვლების ბლოკირების ზღვარზე მრავალჯერადი მკვეთრი ზემოქმედებით მუხრუჭის სატერფულზე.
<<<ID=886>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 5-ე მუხლის მე-11 პუნქტის თანახმად, გაჩერება − სატრანსპორტო საშუალების მოძრაობის წინასწარგანზრახული შეწყვეტა 5 წუთამდე, ან უფრო მეტი ხნით, თუ ეს აუცილებელია მგზავრთა ჩასხდომა-გადმოსხდომისათვის ან სატრანსპორტო საშუალების დატვირთვა-გადმოტვირთვისათვის. გაჩერებად არ ითვლება სატრანსპორტო საშუალების მოძრაობის წინასწარგანზრახული შეწყვეტა სატრანსპორტო ნაკადში, საგზაო მოძრაობის ორგანიზების ტექნიკური საშუალებების ან მარეგულირებლის მოთხოვნათა გამო.
